codigo_asignatura,nombre_modulo,carrera,jornada,semestre,fuente
AFS1111,ANATOMIA,TENS,,2026-1,carpeta_guias
APS1121,APS 1121,Banco de Sangre,,2026-1,carpeta_guias
APS121,PREPARACIÓN DEL PACIENTE PARA LA TOMA DE MUESTRA Y FELBOTOMÍA,Banco de Sangre,,2026-1,insumos_xlsx
ATS1111,Administración para la toma de muestra,Banco de Sangre,,2026-1,insumos_xlsx
AXS1102,Primeros auxilios,Enfermería,Diurno,2026-1,insumos_xlsx
BIS1111,bioseguridad,Banco de Sangre,,2026-1,insumos_xlsx
BSS3111,TÉCNICAS DE BANCO DE SANGRE,Banco de Sangre,,2026-1,insumos_xlsx
CES3111,CONTROL NIÑO SANO / ANTROPOMETRIA,Enfermería,Diurno,2026-1,insumos_xlsx
CES3121,CUIDADOS DE ENFERMERIA EN URGENCIAS,TENS,Diurno,2026-1,insumos_xlsx
EBS1111,Técnicas básicas,Enfermería,Diurno,2026-1,insumos_xlsx
EBS1121,BIOSEGURIDAD,TENS,Diurno,2026-1,insumos_xlsx
EOS3111,OD RESTAURADORA,Odontología,,2026-1,carpeta_guias
EOS3131,ENDODONCIA,Odontología,,2026-1,carpeta_guias
LCS1111,PREPARACIÓN DE LABORATORIO CLÍNICO,Banco de Sangre,,2026-1,insumos_xlsx
LCS3111,Microbiología para laboratorio clínico,Banco de Sangre,,2026-1,insumos_xlsx
MES3111,MANEJO DE EQUIPOS E INSUMOS,TENS,Diurno,2026-1,insumos_xlsx
PFS1115,Química Analítica e instrumental,Química y Farmacia,,2026-1,insumos_xlsx
SB017,MANEJO DE EQUIPOS,Enfermería,Diurno,2026-1,planificacion_xlsx
SB019,ROL DEL TENS,Enfermería,Vespertino,2026-1,planificacion_xlsx
SB020,ROL DEL TENS,Enfermería,Diurno,2026-1,planificacion_xlsx
TMS1111,TOMA DE MUESTRA,Banco de Sangre,,2026-1,insumos_xlsx
AXS1102,AXS1102,Banco de Sangre,,2026-2,carpeta_guias
BSS2111,BSS2111,Banco de Sangre,,2026-2,carpeta_guias
CES2121,Medico quirurgico,Enfermería,,2026-2,insumos_xlsx
CES4111,Salud Mental,TENS,,2026-2,carpeta_guias
EBS2111,ADMINISTRACION DE FARMACOS,TENS,,2026-2,insumos_xlsx
EOS4121,INSTRUMENTAL PARA DESTARTRAJE SUPRA Y SUBGINGIVAL,,,2026-2,insumos_xlsx
EOS4141,Ortodoncia,Odontología,,2026-2,planificacion_xlsx
HES4111,Habilidades para el trabajo,TENS,,2026-2,carpeta_guias
LCS2111,LCS2111,Banco de Sangre,,2026-2,carpeta_guias
TOXICOLOGÍA,Toxicología,Química y Farmacia,,2026-2,insumos_xlsx
,ANATOMIA,Enfermería,Diurno,2026-1,planificacion_xlsx
,ANATOMIA,Enfermería,Vespertino,2026-1,planificacion_xlsx
,Ad. toma de muestra,Banco de Sangre,,2026-1,planificacion_xlsx
,Anatomia,Odontología,,2026-1,planificacion_xlsx
,Anotomia y Fisiologia,Banco de Sangre,,2026-1,planificacion_xlsx
,Aseg. y gestión,Química y Farmacia,,2026-1,planificacion_xlsx
,BIOSEGURIDAD,Enfermería,Vespertino,2026-1,planificacion_xlsx
,Bioseguridad,Banco de Sangre,,2026-1,planificacion_xlsx
,Bioseguridad,Química y Farmacia,,2026-1,planificacion_xlsx
,Cirugia,Odontología,,2026-1,planificacion_xlsx
,Endodoncia,Odontología,,2026-1,planificacion_xlsx
,IAAS,Enfermería,Diurno,2026-1,planificacion_xlsx
,Legislacion farmaceutica,Química y Farmacia,,2026-1,planificacion_xlsx
,Manejo de equipos,Odontología,,2026-1,planificacion_xlsx
,Materiales dentales,Odontología,,2026-1,planificacion_xlsx
,PEDIATRIA,Enfermería,Diurno,2026-1,planificacion_xlsx
,PEDIATRIA,Enfermería,Vespertino,2026-1,planificacion_xlsx
,PRIMEROS AUXILIOS,Enfermería,Diurno,2026-1,planificacion_xlsx
,PRIMEROS AUXILIOS,Enfermería,Vespertino,2026-1,planificacion_xlsx
,Prep. de lab. clinico,Banco de Sangre,,2026-1,planificacion_xlsx
,Prep. de pacientes,Banco de Sangre,,2026-1,planificacion_xlsx
,Quimica analitica,Química y Farmacia,,2026-1,planificacion_xlsx
,RX,Odontología,,2026-1,planificacion_xlsx
,Tec. Banco sangre,Banco de Sangre,,2026-1,planificacion_xlsx
,Toma de muestra,Banco de Sangre,,2026-1,planificacion_xlsx
,Técnicas de diagnostico en odontología,Odontología,,2026-1,carpeta_guias
,URGENCIAS,Enfermería,Diurno,2026-1,planificacion_xlsx
,anatomia,Odontología,,2026-1,carpeta_guias
,manejo de equipos,Odontología,,2026-1,carpeta_guias
,microbiología,Banco de Sangre,,2026-1,planificacion_xlsx
,odontologia restauradora,Odontología,,2026-1,planificacion_xlsx
,Almacenamiento,Química y Farmacia,,2026-2,planificacion_xlsx
,BIOMATERIALES,Odontología,,2026-2,carpeta_guias
,BIOSEGURIDAD,Odontología,,2026-2,carpeta_guias
,Biomateriales,Odontología,,2026-2,planificacion_xlsx
,Elaborados Magistrales,Química y Farmacia,,2026-2,planificacion_xlsx
,Ergonomia,Odontología,,2026-2,planificacion_xlsx
,Farmacologia,Química y Farmacia,,2026-2,planificacion_xlsx
,Farmacos,Enfermería,,2026-2,planificacion_xlsx
,Gestion,Odontología,,2026-2,planificacion_xlsx
,Habilidades,Enfermería,,2026-2,planificacion_xlsx
,MQ,Enfermería,,2026-2,planificacion_xlsx
,Materno,TENS,,2026-2,carpeta_guias
,Materno,Enfermería,,2026-2,planificacion_xlsx
,Microbiologia,Química y Farmacia,,2026-2,planificacion_xlsx
,ODONTOPEDIATRIA,Odontología,,2026-2,carpeta_guias
,ORTODONCIA Y ORTOPEDIA,Odontología,,2026-2,carpeta_guias
