email_docente,codigo_asignatura,seccion,semestre,sala,dia_semana,hora_inicio,hora_fin
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,PREP.DELAB.CLINICO,004D,2026-1,SB-012,miércoles,08:41,09:40
,PREP.DELAB.CLINICO,003D,2026-1,SB-012,jueves,10:11,11:10
,PREP.DELAB.CLINICO,005D,2026-1,SB-012,jueves,11:41,12:40
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,JUEVE,2026-1,Sala,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,AD.TOMADEMUESTRA,2026,2026-1,SB-013,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SECCI,2026-1,SB-012,,,
,TOMADEMUESTRA,SALA,2026-1,SECCIÓN 005 Miércoles 15:21 a 17:10,,,
,TOMADEMUESTRA,13.0,2026-1,2026-03-18 00:00:00,,,
,TOMADEMUESTRA,13.0,2026-1,2026-03-25 00:00:00,,,
,TOMADEMUESTRA,13.0,2026-1,2026-04-01 00:00:00,,,
