nombre,tipo,sku,codigo_barras,descripcion,stock_actual,stock_minimo,costo_unitario,sala,categoria
Sillón dental,insumo,,,"Cant. por taller: 2.0 | Semana: 5 , 6 , 7 ",2.0,,,Odontología,INSTRUMENTAL PARA DESTARTRAJE SUPRA Y SUBGINGIVAL
Scaler,implemento,,,"Cant. por semestre:  | Semana: 5 , 6 , 7 ",,,,Odontología,INSTRUMENTAL PARA DESTARTRAJE SUPRA Y SUBGINGIVAL
Fantomas para destartraje (no modelos de yeso),insumo,,,"Cant. por taller: 2.0 | Semana: 5 , 6 , 7 ",2.0,,,Odontología,INSTRUMENTAL PARA DESTARTRAJE SUPRA Y SUBGINGIVAL
Pecheras paciente,insumo,,,"Cant. por taller: 2.0 | Semana: 5 , 6 , 7 ",2.0,,,Odontología,INSTRUMENTAL PARA DESTARTRAJE SUPRA Y SUBGINGIVAL
Eyectores,insumo,,,"Cant. por taller: 12.0 | Semana: 5 , 6 , 7 ",12.0,,,Odontología,INSTRUMENTAL PARA DESTARTRAJE SUPRA Y SUBGINGIVAL
Bandeja de examen completa,insumo,,,"Cant. por taller: 12.0 | Semana: 5 , 6 , 7 ",12.0,,,Odontología,INSTRUMENTAL PARA DESTARTRAJE SUPRA Y SUBGINGIVAL
Sonda periodontal carolina del norte,insumo,,,"Cant. por taller: 12.0 | Semana: 5 , 6 , 7 ",12.0,,,Odontología,INSTRUMENTAL PARA DESTARTRAJE SUPRA Y SUBGINGIVAL
Puntas de scaler,insumo,,,"Cant. por taller: 4.0 | Semana: 5 , 6 , 7 ",4.0,,,Odontología,INSTRUMENTAL PARA DESTARTRAJE SUPRA Y SUBGINGIVAL
Sillón dental,insumo,,,"Cant. por taller: 2.0 | Semana: 8 , 9 , 10",2.0,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
urit 600,implemento,,,Cant. por semestre: 1.0 | Semana: 4.0,1.0,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
Fantomas para destartraje (no modelos de yeso),insumo,,,"Cant. por taller: 2.0 | Semana: 8 , 9 , 10",2.0,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
Pecheras paciente,insumo,,,"Cant. por taller: 2.0 | Semana: 8 , 9 , 10",2.0,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
Eyectores,insumo,,,"Cant. por taller: 12.0 | Semana: 8 , 9 , 10",12.0,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
Bandeja de examen completa,insumo,,,"Cant. por taller: 12.0 | Semana: 8 , 9 , 10",12.0,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
Sonda periodontal carolina del norte,insumo,,,"Cant. por taller: 12.0 | Semana: 8 , 9 , 10",12.0,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
Curetas Gracey,insumo,,,"Cant. por taller: 4 de c/u | Semana: 8 , 9 , 10",4 de c/u,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
Jeringa Carpule,insumo,,,"Cant. por taller: 6.0 | Semana: 8 , 9 , 10",6.0,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
Anestesia,insumo,,,"Cant. por taller: 1 caja | Semana: 8 , 9 , 10",1 caja,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
Agujas,insumo,,,"Cant. por taller: 1 caja | Semana: 8 , 9 , 10",1 caja,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
Jeringas de irrigación,insumo,,,"Cant. por taller: 12.0 | Semana: 8 , 9 , 10",12.0,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
Gasas esteriles,insumo,,,"Cant. por taller: 24.0 | Semana: 8 , 9 , 10",24.0,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
Clorhexidina 0.12%,insumo,,,"Cant. por taller: 1.0 | Semana: 8 , 9 , 10",1.0,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
Suero fisiológico,insumo,,,"Cant. por taller: 1.0 | Semana: 8 , 9 , 10",1.0,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
Piedra de Arkansas,insumo,,,"Cant. por taller: 2.0 | Semana: 8 , 9 , 10",2.0,,,Odontología,INSTRUMENTAL DE TRATAMIENTO PERIODONTAL NO QUIRÚRGICO Y PULIDO RADICULAR
