Nombre de Taller,Fecha,Sala,Horario,Docente,Seccion
HABILIDADES COMUNICACIONALES Y MANEJO DE CONFLICTOS,,Banco de Sangre,,,
INFORMACIÓN AL PACIENTE,,,,,
PREPARACIÓN DEL PACIENTE PARA LA TOMA DE MUESTRA,,Banco de Sangre,,,
Transporte y recepción de muestras,,SB-013,,,
Transporte y recepción de muestras,,SB-013,,,
Transporte y recepción de muestras,,SB-013,,,
Criterios de aceptación y rechazo de muestras ambulatorias,,SB-013,,,
Criterios de aceptación y rechazo de muestras de urgencia,,SB-013,,,
Integración contenidos experiencia nº2,,SB-013,,,
Almacenamiento de muestras biológicas,,SB-013,,,
Errores en el almacenamiento de muestras,,SB-013,,,
CONCEPTOS BIOSEGURIDAD,,SB-017,,,022V | 023V | 024V | 025V
Bioseguridad: Riesgos biológicos,,SB-017,,,022V | 023V | 024V | 025V
Normas Universales de Bioseguridad,,SB-017,,,022V | 023V | 024V | 025V
Riesgos asociados a agentes químicos y físicos,,SB-017,,,022V | 023V | 024V | 025V
La Bioseguridad aplicada al trabajo del laboratorio clínico,,SB-017,,,022V | 023V | 024V | 025V
Conociendo el laboratorio,,SB-012,jueves 10:11-11:10 | jueves 11:41-12:40 | miércoles 08:41-09:40,,003D | 004D | 005D
Uso de materiales para el análisis de laboratorio clínico.,,,,,
Preparación de soluciones,,,,,
Preparación de soluciones,,,,,
Centrifugación de muestras y alícuotas,,,,,
Observación de elementos parasitarios e indicaciones de bioseguridad.,,SB-012,,,
Técnicas de diagnóstico parasitológico directo (Técnica de Telemann),,SB-012,,,
Técnicas de diagnóstico parasitológico directo (Técnica de Burrows),,,,,
Diagnóstico de Hemoparásitos,,SB-012,,,
TINCIÓN GRAM Y MEDIOS DE CULTIVOS,,SB-012,,,
Baterías de identificación y pruebas bioquímicas,,,,,
Baciloscopía y cultivo de Koch,,,,,
Susceptibilidad microbiana,,,,,
TÉCNICA DE SIEMBRA UROCULTIVO Y COPROCULTIVO,,SB-012,,,
C,,Banco de Sangre,,,
Técnica de Maki y Medios de cultivos especiales,,,,,
C,,Banco de Sangre,,,
Conceptos básicos previos a la toma de muestra,,SB-012,,,
Reconocimiento de insumos para realizar flebotomía,,,,,
Toma de muestra hematología y bioquímica clínica,,,,,
Punción de pulpejo y tiempo de sangría,,,,,
Materiales e Insumos para TM y flebotomía – TM Hemocultivo.,,SB-012,,,
Materiales e Insumos para TM y flebotomía – Urocultivo,,,,,
Materiales e Insumos para TM y flebotomía – TM Muestras respiratorias,,,,,
Materiales e Insumos para TM y flebotomía – TM Heridas y Hongos,,,,,
Materiales e Insumos para TM y flebotomía – TM Deposiciones y genitales,,,,,
Materiales e Insumos para TM y flebotomía – TM Parasitología,,,,,
Aislamiento absoluto en endodoncia.,,Odontología,,,
Instrumental endodóntico,,Odontología,,,
Medicación e irrigantes,,Odontología,,,
Cementos endodónticos,,Odontología,,,
Obturación,,Odontología,,,
Preparación de áreas clínicas,,Odontología,,,
Proceso de Esterilización /Desinfección de Alto Nivel,,SB-017,,,022V | 023V | 024V | 025V
Higienización de manos,,SB-017,,,022V | 023V | 024V | 025V
Elementos de Protección Personal en la atención de salud/Precauciones basadas en las vías de transmisión,,SB-017,,,022V | 023V | 024V | 025V
Pausa de seguridad en pabellones quirúrgicos,,SB-017,,,022V | 023V | 024V | 025V
Seguridad y calidad en la atención de pacientes para la prevención de riesgos de caídas y UPP,,SB-017,,,022V | 023V | 024V | 025V
Instrumentos básicos de atención primaria en salud,,SB-007,,,013 | 02 -04
Equipos médicos de la atención secundaria en salud,,SB-007,,,013 | 02 -04
Instrumental quirúrgico,,SB-007,,,013 | 02 -04
Instrumental de especialidades,,SB-007,,,013 | 02 -04
Cuidados de Enfermeria Pediatrica,,SB-021,,,
Cuidados de Enfermeria Pediatrica,,SB-021,,,
"Entrenamiento en Lesiones Oseomusculares, vendajes y traslado.",,SB-014,,,
"Entrenamiento en Intoxicaciones, Cuerpos extraños y alteraciones d conciencia",,SB-014,,,
Valoración del crecimiento y desarrollo en el ciclo vital,,SB 018 / SB 020,,,002 | 003 | 007 | 009 | 012 | 013 | 019 | 020
Somatometría en población infantil,,SB 018 / SB 020,,,002 | 003 | 007 | 009 | 012 | 013 | 019 | 020
Somatometria en población adulta,,SB 018 / SB 020,,,002 | 003 | 007 | 009 | 012 | 013 | 019 | 020
Control de signos vitales,,SB 018 / SB 020,,,002 | 003 | 007 | 009 | 012 | 013 | 019 | 020
Traslado de pacientes en diversas circunstancias y en distintas  etapas del ciclo vital,,SB 018 / SB 020,,,002 | 003 | 007 | 009 | 012 | 013 | 019 | 020
"Aseo de cavidades, lavado de pelo y rasurado en las distintas  etapas del ciclo vital",,SB 018 / SB 020,,,002 | 003 | 007 | 009 | 012 | 013 | 019 | 020
Confección de diversos tipos de cama hospitalaria en las distintas  etapas del ciclo vital,,SB 018 / SB 020,,,002 | 003 | 007 | 009 | 012 | 013 | 019 | 020
Triage en catástrofe y pre hospitalario,,SB-021,,,002D | 003D | 004D | 005D | 009D | 011D | 015D | 016D
Manejo de la Vía Aérea,,SB-021,,,002D | 003D | 004D | 005D | 009D | 011D | 015D | 016D
Manejo de la Vía Aérea,,SB-021,,,002D | 003D | 004D | 005D | 009D | 011D | 015D | 016D
